5,CharSource,5
0,read,0
0,toString,0
0,openStream,0
1,IOException,2
2,iterator,4
3,sources,5
0,isEmpty,0
1,IOException,2
2,source,3
3,ByteSource,2
4,isEmpty,4
0,sizeIfKnown,0
1,result,3
2,source,3
3,ByteSource,2
4,sizeIfKnown,3
5,Optional,2
6,absent,4
7,sizeIfKnown,4
8,isPresent,4
9,get,4
10,of,4
11,get,5
0,size,0
1,IOException,2
2,result,3
3,source,3
4,ByteSource,2
5,size,4
6,size,5
0,toString,0
0,toString,0
1,truncate,4
2,encode,4
3,base16,4
4,Ascii,5
5,BaseEncoding,5
6,encode,5
7,bytes,5
8,offset,5
9,length,5
10,testBase16,5
0,countBySkipping,0
1,IOException,2
2,in,1
3,InputStream,2
4,count,3
5,skipped,3
6,skipUpTo,4
7,skipUpTo,5
0,size,0
1,IOException,2
2,sizeIfKnown,3
3,Optional,2
4,closer,3
5,Closer,2
6,in,3
7,InputStream,2
8,sizeIfKnown,4
9,isPresent,4
10,get,4
11,create,4
12,register,4
13,openStream,4
14,countBySkipping,4
15,close,4
16,exhaust,4
17,rethrow,4
18,ByteStreams,5
19,openStream,5
20,openStream,5
21,e,5
22,create,5
0,slice,0
1,offset,1
2,length,1
3,newOffset,3
4,checkArgument,4
5,min,4
6,Math,5
7,min,5
8,min,5
0,sizeIfKnown,0
1,optionalUnslicedSize,3
2,Optional,2
3,unslicedSize,3
4,off,3
5,sizeIfKnown,4
6,isPresent,4
7,get,4
8,min,4
9,of,4
10,absent,4
11,this,5
12,Math,5
13,offset,5
14,min,5
15,length,5
